frame,stamp,lidar_x,lidar_y,lidar_z,enu_x,enu_y,enu_z,error_m,rmse_m
59,1769515218.419761658,4.391468,-0.009707,0.043418,4.585004,-0.571470,-0.023000,0.597868,0.465772
60,1769515218.519762039,4.451419,-0.011920,0.044950,4.687760,-0.575134,-0.021500,0.614396,0.474103
61,1769515218.619760990,4.527473,-0.012753,0.045853,4.794007,-0.579769,-0.020300,0.630020,0.482683
62,1769515218.719760656,4.620020,-0.011596,0.045988,4.967746,-0.588679,-0.015400,0.676541,0.492416
63,1769515218.819760084,4.729205,-0.011536,0.047228,5.113385,-0.595362,-0.014600,0.701619,0.502587
64,1769515218.919759989,4.857172,-0.013092,0.048596,5.303193,-0.616630,-0.011100,0.752832,0.514134
65,1769515219.019760370,5.010459,-0.012484,0.050975,5.534824,-0.648163,-0.011200,0.826385,0.527734
66,1769515219.119759560,5.187773,-0.015410,0.053352,5.786063,-0.662718,-0.009400,0.883684,0.542889
67,1769515219.219762325,5.367057,-0.019243,0.050741,6.010239,-0.700391,-0.013200,0.939007,0.559474
68,1769515219.319761992,5.589126,-0.013575,0.060069,6.300216,-0.719469,-0.015100,1.004781,0.577819
69,1769515219.419762135,5.828061,-0.015150,0.056516,6.612677,-0.772341,-0.012600,1.092583,0.592810
70,1769515219.519762039,6.070282,-0.016207,0.061090,6.882280,-0.794304,-0.011100,1.126936,0.613285
71,1769515219.619761705,6.321496,-0.020922,0.066087,7.155464,-0.843657,-0.008100,1.173839,0.634024
72,1769515219.719761133,6.564489,-0.023391,0.075750,7.469907,-0.869850,-0.008400,1.242319,0.656006
73,1769515219.819760561,6.922125,-0.024099,0.068702,7.874147,-0.942611,-0.001700,1.324751,0.679736
74,1769515219.919760704,7.267641,-0.028015,0.054873,8.218604,-0.978823,0.000500,1.345854,0.702676
75,1769515220.019787788,7.614028,-0.037782,0.045435,8.404242,-0.998326,0.000500,1.244630,0.721217
76,1769515220.119760752,7.867445,-0.023438,0.068318,8.805867,-1.043159,0.002300,1.387381,0.744168
77,1769515220.219758749,8.158120,-0.015383,0.066720,9.294450,-1.100936,0.005400,1.572715,0.773978
78,1769515220.319785833,8.454350,-0.015339,0.062112,9.475435,-1.122278,0.006100,1.507006,0.800063
79,1769515220.419785500,8.790891,-0.028698,0.070485,9.715795,-1.150062,0.006900,1.454974,0.823888
80,1769515220.519785166,9.087078,-0.037137,0.087694,10.013913,-1.185331,0.006700,1.477813,0.847791
81,1769515220.619758368,9.383870,-0.044517,0.098791,10.228670,-1.226183,0.009800,1.455315,0.870067
